framework,time_train_s,metric_error,time_infer_s,bestdiff,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,error_count
LightGBM_r91,10.306852959572002,80215.25422404255,0.00012209345123646138,0.2375075674408482,0.06894826412049625,5.463792006000858,21.696107548317592,239.0212765957447,0,0,0,94,10
XGBoost_r75,39.41810400767993,83520.7261911828,0.00011113248254973082,0.2409478992718028,0.07089900932530598,22.24074931712707,15.85060382383278,239.0483870967742,0,0,0,93,11
XGBoost_r183,12.45096665488349,85235.96848311111,8.367967976513518e-05,0.24928327013408888,0.07643630115646251,11.986808550454162,8.497670996716455,239.2277777777778,0,0,0,90,14
XGBoost_r197,51.31701055001677,86511.65822202248,0.0001818676036543237,0.2519186680113886,0.07562739172143683,51.28619723060082,31.802001956067375,239.23595505617976,0,0,1,88,15
XGBoost_r180,55.50558797518412,86166.56542255556,0.00016099961176240614,0.24429226773530022,0.06880865098681277,43.813907596307736,25.509834862954584,239.3,0,0,0,90,14
LightGBM_r7,29.412585401067545,73896.91320490197,0.00011473590506152828,0.24127174779815155,0.0664480953568551,15.958092144760363,51.284505360714036,239.83823529411765,0,0,0,102,2
XGBoost_r114,38.736132023069594,85967.52236311111,0.00012217110436269263,0.24638815679403983,0.06984755476812184,32.64407440279175,19.5846164112222,239.92222222222222,0,0,0,90,14
LightGBM_r93,9.105058276906927,80994.90833723404,0.00012678618965655784,0.23580860524450273,0.06914124440308064,5.595237724485892,22.90073727409097,240.39893617021278,0,1,0,93,10
XGBoost_r188,16.859691622522142,85592.64669544445,9.085902894761799e-05,0.25117590246081856,0.07442639117201023,15.204024874536147,11.07517201841251,240.49444444444444,0,0,0,90,14
LightGBM_r34,31.335432307720183,76435.88301159999,0.00015046122546899258,0.24353174166305863,0.07976122852901239,19.217079599509283,68.14447435253953,240.945,0,0,0,100,4
XGBoost_r170,15.824679321712917,86256.04603533333,9.309419585938355e-05,0.24804048340719195,0.06987855277199674,14.985013499328215,11.220993300084219,241.12777777777777,0,0,0,90,14
LightGBM_r84,20.131942975024383,79489.82032458334,0.00016025596575648522,0.24162585133311573,0.07565108062078749,7.7230215884560165,22.472594405401974,241.30729166666666,0,0,0,96,8
